,TxnId,BillerID,TxnAmount,TxnDate
1,1,3,41.73927131772758,2022-04-20
2,2,4,13.55748926937449,2022-04-25
3,3,9,28.109822211129366,2022-04-8
4,4,9,77.51813685903501,2022-04-12
5,5,10,28.944763024974772,2022-04-23
6,6,8,56.743733840128655,2022-04-13
7,7,3,7.718719951752185,2022-04-4
8,8,9,61.801524476197265,2022-04-4
9,9,5,17.8377794676563,2022-04-15
10,10,4,32.74709715505848,2022-04-4
11,11,9,61.75174858354819,2022-04-4
12,12,3,80.3424995212777,2022-04-9
13,13,8,2.9695795571349715,2022-04-4
14,14,4,1.1831689753243668,2022-04-23
15,15,10,18.028118404099192,2022-04-5
16,16,8,92.89286115348327,2022-04-18
17,17,5,6.054787775676895,2022-04-17
18,18,9,75.62381383349633,2022-04-17
19,19,9,31.55504458485312,2022-04-3
20,20,2,84.25435818450515,2022-04-24
21,21,2,59.88909090797133,2022-04-23
22,22,10,30.986698262241497,2022-04-10
23,23,2,33.317216999254796,2022-04-14
24,24,4,41.54642767208877,2022-04-13
25,25,1,86.40993165417228,2022-04-23
26,26,8,64.05135329162552,2022-04-6
27,27,5,4.17690807028298,2022-04-15
28,28,1,4.268856789163622,2022-04-12
29,29,4,40.60580462577652,2022-04-21
30,30,10,73.61465552303282,2022-04-17
31,31,3,6.735070087773587,2022-04-9
32,32,1,8.964034697925083,2022-04-7
33,33,4,91.51034385988758,2022-04-17
34,34,9,14.118696544883313,2022-04-20
35,35,1,61.52466354294484,2022-04-4
36,36,5,34.96632361899361,2022-04-21
37,37,2,11.644290066180174,2022-04-21
38,38,9,31.344136068767547,2022-04-20
39,39,2,42.97803106195685,2022-04-19
40,40,10,16.254349120680022,2022-04-19
41,41,4,85.44633444793661,2022-04-2
42,42,4,90.70946581545878,2022-04-13
43,43,1,75.3534207085078,2022-04-11
44,44,5,13.94550011903407,2022-04-9
45,45,3,68.01409919887152,2022-04-17
46,46,5,54.66319492826245,2022-04-20
47,47,3,50.80379250143161,2022-04-11
48,48,8,63.28273992366826,2022-04-8
49,49,10,64.29525970538482,2022-04-24
50,50,9,52.82885749719235,2022-04-15
51,51,6,84.96670129538745,2022-04-11
52,52,8,39.77756563979592,2022-04-3
53,53,10,96.20207018843021,2022-04-2
54,54,7,15.4942278905569,2022-04-22
55,55,1,64.06901710069356,2022-04-11
56,56,3,41.18713489036091,2022-04-10
57,57,3,77.93309355730813,2022-04-6
58,58,8,57.5476979751314,2022-04-23
59,59,9,87.52448372290732,2022-04-15
60,60,5,5.082382533857299,2022-04-24
61,61,3,92.83058174887907,2022-04-5
62,62,2,63.25644439643112,2022-04-20
63,63,9,12.72606969215574,2022-04-19
64,64,4,49.93493477111517,2022-04-5
65,65,8,3.355892276654804,2022-04-16
66,66,9,68.1553964832739,2022-04-18
67,67,4,46.47296526095842,2022-04-23
68,68,7,23.718518719109127,2022-04-15
69,69,4,31.68261992093917,2022-04-18
70,70,2,85.90443290212573,2022-04-20
71,71,3,27.323329919350712,2022-04-20
72,72,1,38.335018099308535,2022-04-18
73,73,9,47.33869639794522,2022-04-10
74,74,1,74.35071343375175,2022-04-12
75,75,8,78.14598221542518,2022-04-19
76,76,9,11.64014459891064,2022-04-16
77,77,2,10.347886838172482,2022-04-13
78,78,1,85.04623649698576,2022-04-23
79,79,1,97.79429292373972,2022-04-10
80,80,2,70.45663021781802,2022-04-8
81,81,6,60.850648462417645,2022-04-16
82,82,7,85.69017253802159,2022-04-2
83,83,7,34.76399213319807,2022-04-6
84,84,9,57.0634568863049,2022-04-12
85,85,4,92.88239005709174,2022-04-3
86,86,4,26.15828246352191,2022-04-23
87,87,8,91.33206461890943,2022-04-14
88,88,4,78.55275979773634,2022-04-17
89,89,3,8.77187080927888,2022-04-17
90,90,4,24.10589981596073,2022-04-11
91,91,8,48.331420877815766,2022-04-24
92,92,9,50.83865336213903,2022-04-13
93,93,7,88.90399468828132,2022-04-14
94,94,5,97.94937014030872,2022-04-21
95,95,10,34.356054514653366,2022-04-14
96,96,2,57.85998913231764,2022-04-7
97,97,7,84.2746273096981,2022-04-15
98,98,7,53.10049657054614,2022-04-10
99,99,8,42.659962077543376,2022-04-18
